MOVIES,GENRE
The End of the F***ing World,"Adventure, Comedy, Crime"
Midnight in Paris,"Comedy, Fantasy, Romance"
Lost in Space,"Adventure, Drama, Family"
Wentworth,"Crime, Drama"
After Life,"Comedy, Drama"
The Fresh Prince of Bel-Air,Comedy
Kill Bill: Vol. 2,"Action, Crime, Thriller"
Bates Motel,"Drama, Horror, Mystery"
Moneyball,"Biography, Drama, Sport"
Behind Her Eyes,"Drama, Mystery, Thriller"
Biohackers,"Drama, Sci-Fi, Thriller"
Extraction,"Action, Thriller"
The IT Crowd,Comedy
Californication,"Comedy, Drama"
Beastars,"Animation, Crime, Drama"
3rd Rock from the Sun,"Comedy, Family, Sci-Fi"
Big Mouth,"Animation, Comedy, Romance"
Snowpiercer,"Action, Drama, Sci-Fi"
Locke & Key,"Drama, Fantasy, Horror"
300: Rise of an Empire,"Action, Drama"
Kimi no na wa.,"Animation, Drama, Fantasy"
Travelers,"Drama, Mystery, Sci-Fi"
Black Lightning,"Action, Drama, Sci-Fi"
Booksmart,Comedy
The Water Man,"Adventure, Drama, Family"
Chesapeake Shores,"Drama, Family"
Oxygène,"Drama, Fantasy, Sci-Fi"
Jaws 2,"Adventure, Horror, Thriller"
Enola Holmes,"Action, Adventure, Crime"
Rurôni Kenshin: Sai shûshô - The Final,"Action, Adventure, Drama"
Chilling Adventures of Sabrina,"Drama, Fantasy, Horror"
Marcella,"Crime, Drama, Mystery"
Tropic Thunder,"Action, Comedy, War"
Freaks and Geeks,"Comedy, Drama"
iZombie,"Comedy, Crime, Drama"
Spirit Untamed,"Animation, Adventure, Family"
Poldark,"Drama, History, Romance"
Beauty and the Beast,"Family, Fantasy, Musical"
Penny Dreadful,"Drama, Fantasy, Horror"
Unbelievable,"Crime, Drama"
Fate: The Winx Saga,"Action, Adventure, Drama"
Feel Good,"Comedy, Drama, Romance"
Bodyguard,"Crime, Drama, Thriller"
The Legend of Korra,"Animation, Action, Adventure"
Bird Box,"Horror, Sci-Fi"
She-Ra and the Princesses of Power,"Animation, Action, Adventure"
Scorpion,"Action, Crime, Drama"
Derry Girls,Comedy
Hell or High Water,"Action, Crime, Drama"
The Babysitter,"Comedy, Horror"
Marriage Story,"Comedy, Drama, Romance"
Ratched,"Crime, Drama, Mystery"
Annihilation,"Adventure, Drama, Horror"
Fractured,"Mystery, Thriller"
El Camino: A Breaking Bad Movie,"Action, Crime, Drama"
Godless,"Drama, Western"
Haikyuu!!,"Animation, Comedy, Drama"
Wind River,"Crime, Drama, Mystery"
Dirilis: Ertugrul,"Action, Adventure, Drama"
Frozen,"Animation, Adventure, Comedy"
The Haunting of Bly Manor,"Drama, Horror, Mystery"
Charlie's Angels,"Action, Adventure, Comedy"
Love,"Comedy, Drama, Romance"
Spenser Confidential,"Action, Comedy, Crime"
Centaurworld,"Animation, Adventure, Comedy"
Lo imposible,"Drama, History, Thriller"
Shadowhunters: The Mortal Instruments,"Action, Drama, Fantasy"
The Ranch,"Comedy, Drama, Western"
Shooter,"Action, Drama"
Zoo,"Drama, Mystery, Sci-Fi"
The Trial of the Chicago 7,"Drama, History, Thriller"
Comment je suis devenu super-héros,"Action, Adventure, Comedy"
Stowaway,"Drama, Sci-Fi, Thriller"
The Nice Guys,"Action, Comedy, Crime"
The Snowman,"Crime, Drama, Thriller"
Moonrise Kingdom,"Comedy, Drama, Romance"
Contagion,"Drama, Thriller"
Nashville,"Drama, Music, Romance"
This Is England,"Crime, Drama"
El hoyo,"Horror, Sci-Fi, Thriller"
Scream,"Comedy, Crime, Drama"
Halston,"Biography, Drama"
Castle Rock,"Drama, Fantasy, Horror"
Misfits,"Comedy, Drama, Fantasy"
Medici,"Biography, Drama, History"
I'm Thinking of Ending Things,"Drama, Thriller"
Willy Wonka & the Chocolate Factory,"Family, Fantasy, Musical"
Fantasy Island,"Action, Adventure, Fantasy"
Doc Martin,"Comedy, Drama, Romance"
Homefront,"Action, Crime, Thriller"
The Power of the Dog,"Drama, Romance, Western"
Dead Poets Society,"Comedy, Drama"
Contratiempo,"Crime, Drama, Mystery"
There's Something About Mary,"Comedy, Romance"
Trailer Park Boys,"Comedy, Crime"
Binsenjo,"Comedy, Crime, Romance"
Full House,"Comedy, Drama, Family"
The OA,"Drama, Fantasy, Mystery"
Lucy,"Action, Sci-Fi, Thriller"
Will & Grace,"Comedy, Romance"
Luke Cage,"Action, Crime, Drama"
GLOW,"Comedy, Drama, Sport"
Wet Hot American Summer: Ten Years Later,Comedy
The Mummy,"Action, Adventure, Fantasy"
When They See Us,"Biography, Crime, Drama"
22 July,"Crime, Drama, History"
When Calls the Heart,"Drama, Family, Romance"
A Series of Unfortunate Events,"Adventure, Comedy, Drama"
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama"
RuPaul's Drag Race All Stars,"Game-Show, Reality-TV"
Sophie: A Murder in West Cork,"Documentary, Crime, History"
Knock Knock,"Drama, Thriller"
Madam Secretary,Drama
Hauru no ugoku shiro,"Animation, Adventure, Family"
The Alienist,"Crime, Drama, Mystery"
Now You See Me,"Crime, Mystery, Thriller"
Hell's Kitchen,"Game-Show, Reality-TV"
The Ballad of Buster Scruggs,"Comedy, Drama, Musical"
The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi"
The Politician,"Comedy, Drama"
Marco Polo,"Adventure, Drama, History"
Tattoo Redo,Reality-TV
Shameless,"Comedy, Crime, Drama"
Top Gear,"Adventure, Comedy, Reality-TV"
Vanquish,"Action, Crime, Thriller"
Sweet Magnolias,"Drama, Romance"
Geostorm,"Action, Sci-Fi, Thriller"
The Bureau of Magical Things,"Family, Fantasy, Mystery"
Rojst,"Crime, Drama, Thriller"
Sausage Party,"Animation, Adventure, Comedy"
A Futile and Stupid Gesture,"Biography, Comedy"
Eurovision Song Contest: The Story of Fire Saga,"Comedy, Music"
Russian Doll,"Adventure, Comedy, Drama"
Sa-rang-eui bul-sa-chak,"Adventure, Comedy, Romance"
The Next Three Days,"Action, Crime, Drama"
Maniac,"Comedy, Drama, Sci-Fi"
Moonlight,Drama
In the Heart of the Sea,"Action, Adventure, Biography"
The Babysitter: Killer Queen,"Comedy, Horror"
Final Space,"Animation, Action, Adventure"
Into the Badlands,"Action, Adventure, Drama"
Firefly Lane,"Drama, Romance"
Manhunt,"Biography, Crime, Drama"
Kingdom,Drama
Wet Hot American Summer: First Day of Camp,Comedy
Rebecca,"Drama, Mystery, Romance"
Master of None,"Comedy, Drama"
The Stranger,"Crime, Drama, Mystery"
Contact,"Drama, Mystery, Sci-Fi"
The Kissing Booth,"Comedy, Romance"
Top Boy,"Crime, Drama, Thriller"
Climax,"Drama, Horror, Music"
Vivo,"Animation, Adventure, Comedy"
Gods of Egypt,"Action, Adventure, Fantasy"
Mank,"Biography, Comedy, Drama"
Bleach: Burîchi,"Animation, Action, Adventure"
¿Quién Mató a Sara?,"Crime, Drama, Mystery"
X-Ray: Selected Satyajit Shorts,"Crime, Drama, Thriller"
The Dirt,"Biography, Comedy, Drama"
The Real Housewives of Beverly Hills,Reality-TV
Gerald's Game,"Drama, Horror, Thriller"
Outlaw King,"Action, Biography, Drama"
Another Life,"Adventure, Drama, Mystery"
Crazy Ex-Girlfriend,"Comedy, Musical"
Yakusoku no Neverland,"Animation, Adventure, Drama"
He's All That,"Comedy, Romance"
High School DxD,"Animation, Action, Comedy"
Fuller House,"Comedy, Family"
Thunder Force,"Action, Adventure, Comedy"
The Midnight Sky,"Drama, Fantasy, Sci-Fi"
Breach,"Action, Horror, Sci-Fi"
Rosemary's Baby,"Drama, Horror"
Below Deck,Reality-TV
Kung Fu Panda 3,"Animation, Action, Adventure"
Bright,"Action, Fantasy, Thriller"
H2O: Just Add Water,"Drama, Family, Fantasy"
Colony,"Action, Adventure, Drama"
Deep,"Drama, Mystery, Sci-Fi"
From Dusk Till Dawn: The Series,"Action, Crime, Fantasy"
Ender's Game,"Action, Adventure, Fantasy"
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,"Animation, Action, Drama"
Alice in Borderland,"Action, Fantasy, Mystery"
Planet of the Apes,"Adventure, Sci-Fi"
Shot Caller,"Crime, Drama, Thriller"
Ash vs Evil Dead,"Action, Comedy, Horror"
Pieces of a Woman,Drama
Yes Day,"Comedy, Family"
The Ritual,"Horror, Mystery, Thriller"
Force of Nature,"Action, Crime, Drama"
Downsizing,"Drama, Fantasy, Sci-Fi"
Fruits Basket,"Animation, Comedy, Drama"
Murder Mystery,"Action, Comedy, Crime"
Poketto monsutâ,"Animation, Action, Adventure"
Cursed,"Adventure, Drama, Fantasy"
Lone Survivor,"Action, Biography, Drama"
"Extremely Wicked, Shockingly Evil and Vile","Biography, Crime, Drama"
Henry Danger,"Action, Comedy, Family"
Under the Dome,"Drama, Mystery, Sci-Fi"
The Founder,"Biography, Drama"
Mononoke-hime,"Animation, Action, Adventure"
Space Force,Comedy
Timeless,"Action, Adventure, Drama"
Seutateueob,"Comedy, Drama, Romance"
La catedral del mar,"Drama, History"
Beckett,"Action, Crime, Drama"
Triple Frontier,"Action, Adventure, Crime"
Fondeados,Comedy
Sweet Home,"Drama, Fantasy, Horror"
101 Dalmatians,"Adventure, Comedy, Crime"
Warrior Nun,"Action, Drama, Fantasy"
The Irregulars,"Crime, Drama, Fantasy"
Party of Five,"Drama, Family"
Lilyhammer,"Comedy, Crime, Drama"
Frontier,"Adventure, Drama, History"
El Cartel de los Sapos - El Origen,"Crime, Drama"
Rampage,"Action, Adventure, Sci-Fi"
The Croods,"Animation, Adventure, Comedy"
Safe,"Crime, Drama, Mystery"
