MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,DIRECTOR
Avatar: The Last Airbender,2005–2008,"Animation, Action, Adventure",9.3,"Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",265845,23,
The Punisher,2017–2019,"Action, Crime, Drama",8.5,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore",194777,53,
Star Trek: Voyager,1995–2001,"Action, Adventure, Sci-Fi",7.8,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Robert Duncan McNeill",61917,44,
The Departed,2006,"Crime, Drama, Thriller",8.5,"Director:Martin Scorsese| Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",1227522,151,
Narcos,2015–2017,"Biography, Crime, Drama",8.8,"Pedro Pascal, Lizbeth Eden, Wagner Moura, Boyd Holbrook",375261,49,
The Serpent,2021,"Crime, Drama, Thriller",7.6,"Tahar Rahim, Billy Howle, Jenna Coleman, Ellie Bamber",33936,58,
Star Wars: The Clone Wars,2008–2020,"Animation, Action, Adventure",8.3,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",71904,23,
"Murder, She Wrote",1984–1996,"Crime, Drama, Mystery",7.0,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum",20330,50,
Fatherhood,2021,"Comedy, Drama",6.7,"Director:Paul Weitz| Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise",26508,109,
Blue Bloods,2010– ,"Crime, Drama, Mystery",7.6,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou",34064,43,
Heist,2021– ,"Documentary, Crime, Mystery",6.8,"William Guirola, Megan Barlow, Scott Bender, Jonny Carlson",846,41,
The Woman in the Window,2021,"Crime, Drama, Mystery",5.7,"Director:Joe Wright| Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger",57048,100,
Black Summer,2019– ,"Action, Drama, Horror",6.5,"Jaime King, Justin Chu Cary, Christine Lee, Zoe Marlett",25453,40,
Katla,2021– ,"Drama, Mystery, Sci-Fi",7.1,"Guðrún Ýr Eyfjörð, Íris Tanja Flygenring, Ingvar Sigurdsson, Aliette Opheim",8391,0,
Gone Girl,2014,"Drama, Mystery, Thriller",8.1,"Director:David Fincher| Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",895888,149,
Jumanji: Welcome to the Jungle,2017,"Action, Adventure, Comedy",6.9,"Director:Jake Kasdan| Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black",337900,119,
American Psycho,2000,"Comedy, Crime, Drama",7.6,"Director:Mary Harron| Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",517014,101,
House of Cards,2013–2018,Drama,8.7,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",476656,51,
Miraculous: Tales of Ladybug & Cat Noir,2015– ,"Animation, Action, Adventure",7.7,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Mela Lee",8300,20,
Mayor Grom: Chumnoy Doktor,2021,"Action, Adventure",6.3,"Director:Oleg Trofim| Tikhon Zhiznevskiy, Lyubov Aksyonova, Sergei Goroshko, Aleksey Maklakov",8466,136,
Demon Slayer: Kimetsu No Yaiba,2019– ,"Animation, Action, Fantasy",8.7,"Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô",46259,25,
Jane the Virgin,2014–2019,Comedy,7.8,"Gina Rodriguez, Andrea Navedo, Yael Grobglas, Justin Baldoni",41758,60,
The Good Wife,2009–2016,"Crime, Drama, Mystery",8.3,"Julianna Margulies, Chris Noth, Josh Charles, Matt Czuchry",70021,43,
The Good Place,2016–2020,"Comedy, Drama, Fantasy",8.2,"Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden",127417,22,
The Americans,2013–2018,"Crime, Drama, Mystery",8.4,"Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor",88962,44,
Glee,2009–2015,"Comedy, Drama, Music",6.7,"Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith",139934,44,
Bo Burnham: Inside,2021 TV Special,"Comedy, Drama, Music",8.7,"Director:Bo Burnham| Bo Burnham, Socko",31108,87,
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",8.1,"Director:Quentin Tarantino| Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen",1034554,111,
Bartkowiak,2021,"Action, Crime, Sport",5.0,"Director:Daniel Markowicz| Józef Pawlowski, Zofia Domalik, Szymon Bobrowski, Bartlomiej Topa",398,91,
Castlevania,2017–2021,"Animation, Action, Adventure",8.3,"Richard Armitage, James Callis, Alejandra Reynoso, Theo James",51802,23,
300,2006,"Action, Drama",7.6,"Director:Zack Snyder| Gerard Butler, Lena Headey, David Wenham, Dominic West",751815,117,
Dawson's Creek,1998–2003,"Drama, Romance",6.6,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson",38117,60,
It,I 2017,Horror,7.3,"Director:Andy Muschietti| Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis",480607,135,
Pretty Little Liars,2010–2017,"Drama, Mystery, Romance",7.4,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell",155875,44,
Star Trek,1966–1969,"Action, Adventure, Sci-Fi",8.3,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols",76213,50,
Archer,2009– ,"Animation, Action, Comedy",8.6,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell",141784,22,
Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",7.5,"Director:Jon Watts| Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei",363012,129,
Twin Peaks,1990–1991,"Crime, Drama, Mystery",8.8,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook",182173,47,
The Mitchells vs the Machines,2021,"Animation, Adventure, Comedy",7.7,"Directors:Michael Rianda, Jeff Rowe| Abbi Jacobson, Danny McBride, Maya Rudolph, Michael Rianda",69482,113,
The Bold Type,2017–2021,"Comedy, Drama",7.9,"Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin",16183,45,
"Love, Death & Robots",2019– ,"Animation, Short, Comedy",8.5,"Scott Whyte, Nolan North, Steven Pacey, Emily O'Brien",120364,15,
Hostage House,2021,Thriller,3.7,"Director:David Benullo| Jennifer Taylor, Julia Terranova, Emily Sweet, Justin C. Schilling",315,85,
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",7.8,"Director:Peter Jackson| Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis",774632,169,
Clueless,1995,"Comedy, Romance",6.8,"Director:Amy Heckerling| Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",194461,97,
Ray Donovan,2013–2020,"Crime, Drama",8.3,"Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall",79618,60,
